Code Article,Libelle Article,Code Descriptif Commercial,Libelle Descriptif Commecial,Ordre,Code Taches,Libelle Tache
Ea.Q,Paramétres physico-chimique de l'eau de gachage,D00010,Carbonates,10,T00038,Carbonates
Ea.Q,Paramétres physico-chimique de l'eau de gachage,D00011,Extrait sec ,11,TD00011,Extrait sec 
Ea.N,Agrésivité des eaux souterraines,D00012,Dosage de l'amonium,1,TD00012,Amonium
Ea.PC,Parametres physico-chimiques de l'eau,D00012,Dosage de l'amonium,14,TD00012,Amonium
Ea.Q,Paramétres physico-chimique de l'eau de gachage,D00012,Dosage de l'amonium,12,TD00012,Amonium
Ea.Q,Paramétres physico-chimique de l'eau de gachage,D00013,Rapport d'essais Eau gachage,13,TD00013,Rapport d'essais Eau gachage
Ea.N,Agrésivité des eaux souterraines,D00013,Rapport d'essais Eau gachage,1,TD00013,Rapport d'essais Eau gachage
G.alcali réac,Analyse complète d’alcali réaction sur granulats,D00014,Prélevement de materiau pour essai alcali réaction,1,TD00014-1,P.E.R. Gr pour alcali réaction 
G.alcali réac,Analyse complète d’alcali réaction sur granulats,D00015,Analyse complète d’alcali réaction sur granulats,2,TD00015,Analyse complète d’alcali réaction sur granulats
G.alcali réac,Analyse complète d’alcali réaction sur granulats,D00016,Rapport d'essai alcali réaction,3,TD00016-1,Rapport d'essai alcali réaction
Elec-Rse,Analyse du réseau électrique ,D00017,Analyse du réseau électrique ,1,TD00017,Analyse de réseau électrique 
Elec-Rse,Analyse du réseau électrique ,D00018,Rapport réseau electrique,2,TD00018-1,Rapport réseau electrique
Ea.P,Paramétres physico-chimique de l'eau potable,D00019,Prélevement d'un échantillon d'eau potable,1,TD00019-1,P.E.R. Eau potable
